Path in MiSTer, URL, Size in bytes (optional but recommended), MD5 Hash (optional but recommended), Filter Terms (optional)
games/mame/radm.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/radm.zip,5132449,b6012aa92643928ea3641c77a703d07c,
games/mame/radr.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/radr.zip,4804548,86722806cd222382c0b0d38eb1c07e56,
games/mame/robowres.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/robowres.zip,186532,6211027b4d02f4c794dd2e8f82428eec,
games/mame/scross.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/scross.zip,5398446,f3755401c5e39538afb1b5abed839d68,
games/mame/slipstrm.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/slipstrm.zip,2713573,f84a62f7d3096c818e9aa10d194dedc1,
games/mame/sonic.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/sonic.zip,8718189,761fc9cba9f170bf75b80a027498ab07,
games/mame/spidman.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/spidman.zip,6736610,1131f147380a3a02a2d181d5245adf8a,
games/mame/stmblade.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/stmblade.zip,7972970,5f8c2b89e1bd7420a3647e3ee3814527,
games/mame/svf.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/svf.zip,9347576,34c6b6d2791ca32327886f26f32d67c2,
games/mame/titlef.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/titlef.zip,5897492,29a766913d3cc2f3ac5aa57e6804a5af,
games/mame/twineag2.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/twineag2.zip,12975682,536dab0bb82100a31e2a243ff987d72e,
games/mame/ultrax.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/ultrax.zip,8700412,ffbd8048637b13726673d00200c60dcd,
games/mame/vasara.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/vasara.zip,16247072,5ea2ebf805030c099f5d227fa145489f,
games/mame/vasara2.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/vasara2.zip,20541683,f5048328745fc095f8753fe562f83ddb,
games/mame/xenophob.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/xenophob.zip,392223,46c606a74e9d5019279c984765b9e708,
games/mame/primrag2.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/primrag2.zip,
games/mame/primrag2.zip,https://archive.org/download/mame-roms-merged_/MAME%20ROMs%20%28merged%29/coh1000w.zip,
